claim_id,exact_claim,type,source,originating_artifact,support_strength,scope,counterevidence,dependency,current_disposition,citation,access_date
C-011,"Retrieval-augmented generation is established prior art for conditioning generation on retrieved external information.",PRIMARY_SOURCE_SUPPORTED,"Lewis et al. 2020",research/PRIOR_ART_AND_ADJACENT_FIELDS_MAP.md,Strong,"Knowledge-intensive NLP tasks","RAG does not solve source reliability, independence, or open-world verification.","Retriever, corpus, and generator definition","ACCEPT_AS_PRIOR_ART","https://papers.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html","2026-08-17"
C-012,"Source-reliability-aware RAG and retrieved-document attribution have already been proposed.",PRIMARY_SOURCE_SUPPORTED,"Hwang et al. 2025; Nematov et al. 2025 preprint",research/PRIOR_ART_AND_ADJACENT_FIELDS_MAP.md,Strong,"Published RA-RAG paper and one attribution preprint","Agreement-based reliability can fail under dependent sources; attribution does not prove truth.","Independent evaluation and dependence model","REJECT_GENERIC_NOVELTY_CLAIM","https://aclanthology.org/2025.emnlp-main.1738/; https://arxiv.org/abs/2507.04480","2026-08-17"
C-013,"Agent-memory systems already implement retention, retrieval, reflection, links, temporal organization, and fact/opinion distinctions.",PRIMARY_SOURCE_SUPPORTED,"Park et al. 2023; A-Mem 2025; Hindsight 2026",research/PRIOR_ART_AND_ADJACENT_FIELDS_MAP.md,Strong,"Named systems and their reported architectures","System-author claims and benchmark performance require independent replication; memory can propagate errors.","Task-specific memory evaluation","REJECT_GENERIC_MEMORY_NOVELTY_CLAIM","https://doi.org/10.1145/3586183.3606763; https://proceedings.neurips.cc/paper_files/paper/2025/hash/19909c36f51abc4856b4560aff3d36d6-Abstract-Conference.html; https://aclanthology.org/2026.acl-demo.27/","2026-08-17"
C-014,"Human review and mixed initiative require explicit uncertainty, timing, correction, and control design.",PRIMARY_SOURCE_SUPPORTED,"Horvitz 1999; Amershi et al. 2019",research/PRIOR_ART_AND_ADJACENT_FIELDS_MAP.md,Strong,"Human-AI interface design","Guidelines do not guarantee safe implementation and may not transfer unchanged across domains.","Defined human role and evaluable interaction","ACCEPT_BOUNDED","https://www.microsoft.com/en-us/research/publication/principles-mixed-initiative-user-interfaces/; https://doi.org/10.1145/3290605.3300233","2026-08-17"
C-015,"Confidence should be evaluated against observed correctness rather than treated as a decorative score.",PRIMARY_SOURCE_SUPPORTED,"Guo et al. 2017",research/PRIOR_ART_AND_ADJACENT_FIELDS_MAP.md,Strong,"Probabilistic classifier calibration","Calibration can drift across distributions and does not cover authority or utility.","Held-out outcomes and model/version scope","ACCEPT_BOUNDED","https://proceedings.mlr.press/v70/guo17a.html","2026-08-17"
C-016,"Coordinated or copied sources can manufacture apparent recurrence.",PRIMARY_SOURCE_SUPPORTED,"Meta CIB reports; Banerjee 1992; Cochrane duplicate-report guidance",research/PRIOR_ART_AND_ADJACENT_FIELDS_MAP.md,Moderate,"Online coordination and evidence aggregation","Authentic coordination and genuine convergence also exist; platform definitions are policy-specific.","Common-origin and coordination evidence","ACCEPT_AS_RISK_NOT_DEFAULT_CONCLUSION","https://about.fb.com/news/2021/04/march-2021-coordinated-inauthentic-behavior-report/; https://economics.mit.edu/sites/default/files/publications/banerjee92herd.pdf","2026-08-17"
C-017,"Signal Foundry can illustrate bounded intake, identity, provenance, evidence-class separation, enrichment selection, receipts, and human review.",CASE_DERIVED,"Committed Signal Foundry boundary documents","Signal Foundry at f9bf3775ca3d5b52ea5083cea52306c025727e23",Moderate,"Read-only documentation, not runtime validation","Current implementation may differ; documentation is partly aspirational and product-specific.","Exact source-artifact links in final case study","RETAIN_AS_BOUNDED_CASE","Local docs/pattern_recognition_evidence_boundary.md and docs/alpha_solver_evidence_packet_contract_boundary.md","2026-08-17"
C-018,"Alpha Solver can illustrate routing, clarification, refusal, evidence-bounded response posture, replay, and budget controls.",CASE_DERIVED,"Committed Alpha Solver README and evaluation-design packets","Alpha Solver at e7a6baa93627c9ef1e27f0660bd4913262267ea2",Moderate,"Read-only architecture and unexecuted/limited evaluation artifacts","The inspected discrimination packets do not establish measured comparative value or production readiness.","Exact source-artifact links in final case study","RETAIN_AS_BOUNDED_CASE","Local README.md and docs/evals/runs/alpha-solver-discrimination-layer-demo-pack-001/","2026-08-17"
C-019,"Alpha Solver or Signal Foundry validates the full discrimination-layer framework.",REJECTED_OR_NARROWED,"No independent validation evidence","Owner authorization and case-study audit",None,"General framework validity","Both projects are related implementation contexts and cannot provide independent proof.","Independent empirical evaluation","REJECT","None","2026-08-17"
C-020,"The framework is enterprise-ready or enterprise-validated.",UNVERIFIED,"No authorized pilot or validation evidence","Owner authorization",None,"Enterprise use","Plausible requirements and use cases are not readiness evidence.","Authorized pilots; security, privacy, and outcome evaluation","REJECT_CURRENTLY","None","2026-08-17"
C-021,"Separating authority, claim support, independence, relevance, attention, and action improves decision quality.",EMPIRICAL_HYPOTHESIS,"No experiment in this run","Owner authorization",None,"Target tasks to be defined","The dimensions may be unusable, redundant, or too costly.","Operational definitions; baseline; controlled or longitudinal study","OPEN_TEST_REQUIRED","None","2026-08-17"
C-022,"The phrase discrimination layer communicates the intended technical meaning without material misunderstanding.",DESIGN_HYPOTHESIS,"No reader-comprehension evidence yet","Owner authorization",None,"Intended reader groups","The term has strong social and legal meanings and may mislead or alienate readers.","Reader testing and owner decision","KEEP_PROVISIONALLY_WITH_EXPLICIT_DEFINITION","None","2026-08-17"
C-023,"V13 places the main leverage for less-generic AI work in pattern recognition and discrimination applied to inputs before generation.",HISTORICAL_V13_CLAIM,"Owner-designated live v13 reference","https://pattern-recognition-map.adonisdv23.chatgpt.site/",Strong,"Historical thesis only","Historical presence does not establish effectiveness; retrieval and generation interact.","Live-site recovery receipt; exact standalone bytes pending","PRESERVE_AS_HISTORICAL_INTENT_TEST_AS_DESIGN_HYPOTHESIS","https://pattern-recognition-map.adonisdv23.chatgpt.site/","2026-08-17"
C-024,"V13 explicitly states that peripheral or underweighted material is not necessarily true and pairs it with convergence, source weighting, and outcome validation.",HISTORICAL_V13_CLAIM,"Owner-designated live v13 reference","https://pattern-recognition-map.adonisdv23.chatgpt.site/",Strong,"Historical boundary","The proposed checks are themselves fallible and do not establish truth.","Operational definitions; evidence standards; common-origin analysis","PRESERVE_AND_STRENGTHEN","https://pattern-recognition-map.adonisdv23.chatgpt.site/","2026-08-17"
C-025,"V13 organizes its system into peripheral signal mining, source weighing, velocity, absence and memory, structured patterns, and a learning loop.",HISTORICAL_V13_CLAIM,"Owner-designated live v13 reference and rendered diagram","https://pattern-recognition-map.adonisdv23.chatgpt.site/",Strong,"Historical architecture","The family boundaries mix acquisition strategies, analytical operations, state, and feedback; the center may not generalize.","Framework reconciliation and reader testing","PRESERVE_HISTORICAL_MAP_REDESIGN_V14_RESPONSIBILITIES","https://pattern-recognition-map.adonisdv23.chatgpt.site/","2026-08-17"
C-026,"V13 treats recurrence across distinct ecosystems as stronger than many mentions within one ecosystem.",HISTORICAL_V13_CLAIM,"Owner-designated live v13 reference card 02","https://pattern-recognition-map.adonisdv23.chatgpt.site/",Strong,"Historical mechanism claim","Different ecosystems can copy one origin or share incentives; ecosystem diversity is not demonstrated independence.","Report-to-origin tracing and uncertainty state","NARROW_TO_RECURRENCE_PLUS_COMMON_ORIGIN_ANALYSIS","https://pattern-recognition-map.adonisdv23.chatgpt.site/; https://www.cochrane.org/authors/handbooks-and-manuals/handbook/current/chapter-04","2026-08-17"
C-027,"V13 proposes weighting sources using recorded originality, accuracy, and lead-time track records.",HISTORICAL_V13_CLAIM,"Owner-designated live v13 reference card 03","https://pattern-recognition-map.adonisdv23.chatgpt.site/",Strong,"Historical design proposal","Track records can be selected retrospectively, drift, vary by claim type, and conflate authority with support.","Prospective scoring rule; domain scope; outcomes; calibration and drift tests","RETAIN_AS_BOUNDED_HYPOTHESIS_SPLIT_DIMENSIONS","https://pattern-recognition-map.adonisdv23.chatgpt.site/","2026-08-17"
C-028,"V13 proposes velocity relative to a cohort or historical baseline as an early attention signal.",HISTORICAL_V13_CLAIM,"Owner-designated live v13 reference card 04","https://pattern-recognition-map.adonisdv23.chatgpt.site/",Strong,"Historical attention mechanism","Velocity may reflect manipulation, measurement change, seasonality, or noise and is not a forecast or truth signal.","Repeated timestamped observations; baseline; contamination tests; defined action","RETAIN_AS_ATTENTION_HYPOTHESIS_NOT_CONCLUSION","https://pattern-recognition-map.adonisdv23.chatgpt.site/","2026-08-17"
C-029,"V13 proposes detecting conspicuous absence by comparing observed material with an expected peer or longitudinal baseline.",HISTORICAL_V13_CLAIM,"Owner-designated live v13 reference cards 05 and 10","https://pattern-recognition-map.adonisdv23.chatgpt.site/",Strong,"Historical gap mechanism","Missing collection, access, observation, or disclosure can masquerade as real-world absence.","Explicit authorized observation boundary and typed expected baseline","RETAIN_WITH_TYPED_GAP_AND_BASELINE","https://pattern-recognition-map.adonisdv23.chatgpt.site/","2026-08-17"
C-030,"V13 proposes normalized comparison across a measurable peer population to identify recurring attributes and target gaps.",HISTORICAL_V13_CLAIM,"Owner-designated live v13 reference cards 06-09","https://pattern-recognition-map.adonisdv23.chatgpt.site/",Strong,"Historical comparison mechanism","Success metrics can be confounded; populations incomplete; correlation does not identify which gap would cause improvement.","Sampling frame; normalization specification; outcome definition; causal humility","RETAIN_AS_DOMAIN_SPECIFIC_COMPARISON_PATTERN","https://pattern-recognition-map.adonisdv23.chatgpt.site/","2026-08-17"
C-031,"V13 proposes structured longitudinal memory for tested, ruled-out, recurring, untried, and missing information.",HISTORICAL_V13_CLAIM,"Owner-designated live v13 reference card 10","https://pattern-recognition-map.adonisdv23.chatgpt.site/",Strong,"Historical memory proposal","Later memory systems already implement related structures; stored errors, sensitive data, and stale interpretations can propagate.","Prior-art attribution; provenance; retention; correction and staleness rules","RETAIN_AS_HISTORICAL_REQUIREMENT_REJECT_NOVELTY","https://pattern-recognition-map.adonisdv23.chatgpt.site/","2026-08-17"
C-032,"V13 places a learning loop over the other mechanisms to update source weights, baselines, probes, and frames from later outcomes.",HISTORICAL_V13_CLAIM,"Owner-designated live v13 reference card 11","https://pattern-recognition-map.adonisdv23.chatgpt.site/",Strong,"Historical feedback proposal","Outcomes can be absent, delayed, confounded, selectively recorded, adversarial, or preference-laden.","Predefined outcome; measurement window; immutable prior; human-approved update","RETAIN_AS_DESIGN_AND_EMPIRICAL_HYPOTHESIS","https://pattern-recognition-map.adonisdv23.chatgpt.site/","2026-08-17"
C-033,"V13 presents process, intermediary reasoning, and custom-model paths as three possible implementation approaches.",HISTORICAL_V13_CLAIM,"Owner-designated live v13 reference card 12","https://pattern-recognition-map.adonisdv23.chatgpt.site/",Strong,"Historical implementation taxonomy","The paths are not exhaustive or mutually exclusive and no comparative evidence establishes their hierarchy.","Task-specific requirements and comparative implementation study","PRESERVE_AS_ILLUSTRATIVE_PATHS_REMOVE_HIERARCHY","https://pattern-recognition-map.adonisdv23.chatgpt.site/","2026-08-17"
C-034,"V13 claims the main novelty is treating established mechanisms as standard operating discipline rather than research-team specialty work.",HISTORICAL_V13_CLAIM,"Owner-designated live v13 reference","https://pattern-recognition-map.adonisdv23.chatgpt.site/",Strong,"Historical novelty claim","No systematic practice survey establishes adoption or absence; many established workflows already operationalize subsets.","Systematic prior-art and practice review; adoption evidence","REJECT_NOVELTY_AS_CURRENT_FACT_RETAIN_AS_MOTIVATION","https://pattern-recognition-map.adonisdv23.chatgpt.site/","2026-08-17"
C-035,"V13 suggests encoding decomposable expert pattern-recognition practices can raise the floor of non-expert output while leaving non-decomposable judgment to experts.",HISTORICAL_V13_CLAIM,"Owner-designated live v13 reference","https://pattern-recognition-map.adonisdv23.chatgpt.site/",Strong,"Historical product promise","Expertise is not reducible to output appearance; automation can increase overconfidence; no expert comparison exists.","Bounded task; expert reference; controlled outcome and reliance evaluation","NARROW_TO_TESTABLE_EVIDENCE_HANDLING_HYPOTHESIS","https://pattern-recognition-map.adonisdv23.chatgpt.site/","2026-08-17"
C-036,"V13 broadly states that default GPT cannot perform several corpus-scale retrieval, comparison, memory, and weighting operations.",HISTORICAL_V13_CLAIM,"Owner-designated live v13 reference cards 01-11","https://pattern-recognition-map.adonisdv23.chatgpt.site/",Strong,"Historical baseline rhetoric","Capabilities depend on model, tools, retrieval, corpus access, memory, prompting, and date; blanket claims are unstable.","Named baseline configuration and current evaluation","REJECT_BLANKET_CAPABILITY_CLAIM_USE_CONFIGURED_BASELINES","https://pattern-recognition-map.adonisdv23.chatgpt.site/","2026-08-17"
C-037,"V13 says AI-building participation expanded by orders of magnitude and that the model layer is commoditizing faster than expected.",HISTORICAL_V13_CLAIM,"Owner-designated live v13 reference","https://pattern-recognition-map.adonisdv23.chatgpt.site/",Strong,"Historical market framing","No measure, period, population, cost basis, or expectation baseline is supplied.","Independent time-bounded market evidence if the claim is necessary","REMOVE_FROM_CORE_ARGUMENT","https://pattern-recognition-map.adonisdv23.chatgpt.site/","2026-08-17"
C-038,"The live v13 mobile layout is usable at a 390 by 844 viewport.",REJECTED_OR_NARROWED,"Direct visual inspection of owner-designated live v13 reference","archive/v13/LIVE_SITE_REFERENCE_MANIFEST.json",Strong,"Observed rendered mobile layout","The introductory text collapses into an extremely narrow column with one or a few words per line.","Responsive v14 redesign and browser QA","REJECT_OBSERVED_RESPONSIVE_FAILURE","https://pattern-recognition-map.adonisdv23.chatgpt.site/","2026-08-17"
